Absolute path,Class,Height,Width,Depth,Label
C:\Users\user\Desktop\Python2\dataset\cat\0000.jpg,cat,42,42,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0001.jpg,cat,42,42,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0002.jpg,cat,42,42,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0003.jpg,cat,42,42,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0004.jpg,cat,42,42,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0005.jpg,cat,42,42,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0006.jpg,cat,42,42,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0007.jpg,cat,189,142,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0008.jpg,cat,189,252,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0009.jpg,cat,189,296,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0010.jpg,cat,189,290,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0011.jpg,cat,182,324,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0012.jpg,cat,182,272,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0013.jpg,cat,182,142,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0014.jpg,cat,182,242,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0015.jpg,cat,180,287,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0016.jpg,cat,180,185,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0017.jpg,cat,180,240,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0018.jpg,cat,89,89,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0019.jpg,cat,90,89,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0020.jpg,cat,180,178,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0021.jpg,cat,42,42,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0022.jpg,cat,42,42,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0023.jpg,cat,42,42,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0024.jpg,cat,42,42,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0025.jpg,cat,42,42,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0026.jpg,cat,42,42,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0027.jpg,cat,42,42,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0028.jpg,cat,189,142,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0029.jpg,cat,189,252,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0030.jpg,cat,189,296,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0031.jpg,cat,189,290,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0032.jpg,cat,182,324,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0033.jpg,cat,182,272,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0034.jpg,cat,182,142,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0035.jpg,cat,182,242,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0036.jpg,cat,180,287,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0037.jpg,cat,180,185,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0038.jpg,cat,180,240,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0039.jpg,cat,89,89,3,0
C:\Users\user\Desktop\Python2\dataset\cat\0040.jpg,cat,90,89,3,0
C:\Users\user\Desktop\Python2\dataset\dog\0000.jpg,dog,42,42,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0001.jpg,dog,42,42,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0002.jpg,dog,42,42,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0003.jpg,dog,42,42,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0004.jpg,dog,42,42,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0005.jpg,dog,42,42,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0006.jpg,dog,42,42,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0007.jpg,dog,42,42,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0008.jpg,dog,180,281,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0009.jpg,dog,89,89,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0010.jpg,dog,90,89,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0011.jpg,dog,180,210,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0012.jpg,dog,180,229,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0013.jpg,dog,180,170,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0014.jpg,dog,180,115,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0015.jpg,dog,180,238,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0016.jpg,dog,180,203,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0017.jpg,dog,89,89,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0018.jpg,dog,90,89,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0019.jpg,dog,180,115,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0020.jpg,dog,180,211,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0021.jpg,dog,208,277,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0022.jpg,dog,208,277,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0023.jpg,dog,208,149,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0024.jpg,dog,208,208,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0025.jpg,dog,68,68,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0026.jpg,dog,68,68,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0027.jpg,dog,70,68,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0028.jpg,dog,42,42,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0029.jpg,dog,42,42,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0030.jpg,dog,42,42,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0031.jpg,dog,42,42,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0032.jpg,dog,42,42,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0033.jpg,dog,42,42,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0034.jpg,dog,42,42,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0035.jpg,dog,42,42,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0036.jpg,dog,180,281,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0037.jpg,dog,89,89,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0038.jpg,dog,90,89,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0039.jpg,dog,180,210,3,1
C:\Users\user\Desktop\Python2\dataset\dog\0040.jpg,dog,180,229,3,1
